NAME,UNIT,UNIT PRICE(INR),PRICE (INR),PRICE(USD),SOURCE,,,,
10 uF caps,10,13,130,2,https://robu.in/product/cc0805kkx5r6bb106-yageo-cap-smd-mlcc-10-%c2%b5f-10-v-0805-2012-metric-10-x5r-cc-series/,,,,
100nf caps,7,0.64,4.48,1,https://robu.in/product/cc0603jrx7r7bb104-yageo-16v-100nf-x7r-%c2%b15-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/,,,,
4.7uf caps,10,0.56,5.6,1,https://robu.in/product/tcc0603x7r475k6r3ct-cctc-smt-ceramic-capacitors-0603-x7r-475k4-7%c2%b5f%c2%b110-rated-voltage6-30v-thickness0-80mm-tape/,,,,
diode-sod-123,10,4.46,44.6,1,https://robu.in/product/es1jl-high-diode-1-7v1a-35ns-independent-1a-600v-sod-123fl-fast-recovery-high-efficiency-diodes-rohs/,,,,
fuse 1206,5,21,105,2,https://robu.in/product/1206l005-60wr-littelfuse-1206l005-60wr-pptc-resettable-fuse-0-05a-60vdc-1206/,,,,
5.1k 0603 resistor,10,0.51,5.1,1,https://robu.in/product/ac0603fr-135k1l-yageo-0-1w-thick-film-resistors-%c2%b1100ppm-%e2%84%83-%c2%b11-5-1k%cf%89-0603-chip-resistor-surface-mount-rohs/,,,,
fe1.1s,2,100,200,3,https://robu.in/product/fe1-1s-bsop28bcn-terminus-tech-ssop-28-150mil-usb-converters-rohs/,,,,
12mhz smd crystal,3,10,30,1,https://robu.in/product/12mhz-smd-crystal/,,,,
220Ω@100mhz ferrite bead,10,0.76,7.6,1,https://robu.in/product/upz1608e221-sunlord-%c2%b125-220%cf%89100mhz-0603-ferrite-beads-rohs/,,,,
2.7k 0603 resistor,10,0.15,1.5,1,https://robu.in/product/ac0603fr-072k7l-yageo-res-thick-film-0603-2-7k-ohm-1-0-1w1-10w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/,,,,
10k 0603 resistor,10,0.14,1.4,1,https://robu.in/product/ac0603jr-0710kl-yageo-res-thick-film-0603-10k-ohm-5-0-1w1-10w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/,,,,
USBLC6,10,8,80,1,https://robu.in/product/usblc6-2sc6-ms-msksemi-4-5a-15v-150w-6v-5v-sot-23-6-esd-and-surge-protection-tvs-esd-rohs/,,,,
usb c,3,38,114,2,https://robu.in/product/type-c-31-m-12-hroparts-5a-1-16p-female-type-c-smd-usb-connectors-rohs/,,,,
usb a,2,124,248,3,https://robu.in/product/uba-4r-d14t-4dlfsn-jst-1a-usb-2-0-1-4p-female-type-a-plugin-usb-connectors-rohs/,,,,
pcb,1,1000,1000,11,https://robu.in/product/online-pcb-manufacturing-service/,,,,
shipping+misc,1,250,250,3,,,,,
------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------
,104,,2227.28,35,,,,,
